indicator,year,Pristina,Mitrovica,Mitrovica North,Gjilan,Peje,Prizren,Gjakove,Podujeve,Vushtrri,Skenderaj,Leposaviq,Kline,Istog,Decan,Dragash,Suhareke,Rahovec,Viti,Kamenice,Lipjan,Shtime,Ferizaj,Kacanik,Fushe Kosove,Obiliq,Novoberda,Zubin Potok,Shterpce,Zvecan,Gllogoc,Malisheve,Junik,Mamushe,Hani I Elezit,Gracanica,Ranillug,Partesh,Kllokot,Kosovo
fire and emergency services,2003,0.803,0.675,,0.847,0.83,0.871,0.927,0.873,0.771,0.579,0.538,0.803,0.745,0.688,0.371,0.9,0.769,0.847,0.66,0.7,0.681,0.886,0.912,0.77,0.717,0.222,0.5,0.632,0.545,0.658,0.899,,,,,,,,0.791
fire and emergency services,2006,0.674,0.777,,0.703,0.806,0.909,0.815,0.711,0.723,0.588,0.84,0.678,0.798,0.686,0.761,0.887,0.479,0.927,0.725,0.744,0.72,0.879,0.868,0.738,0.619,0.6,0.826,0.5,0.821,0.921,0.897,,,,,,,,0.771
fire and emergency services,2009,0.847,0.628,,0.379,0.652,0.631,0.226,0.54,0.65,0.977,0.967,0.444,0.605,0.458,0.95,0.649,0.691,0.537,0.828,0.757,0.682,0.556,0.508,0.991,0.57,0.519,0.639,0.325,0.795,0.834,0.646,0.68,0.747,0.685,,,,,0.637
fire and emergency services,2012,0.668,0.732,,0.698,0.87,0.793,0.732,0.803,0.776,0.698,0.923,0.708,0.704,0.64,0.733,0.879,0.576,0.739,0.687,0.833,0.758,0.811,0.884,0.709,0.673,0.697,0.951,0.753,1,0.883,0.781,0.927,0.899,0.865,0.92,0.627,0.64,0.415,0.76
fire and emergency services,2015,0.867,0.876,0.589,0.693,0.697,0.772,0.957,0.841,0.809,0.784,0.704,0.586,0.848,0.433,0.823,0.754,0.735,0.932,0.751,0.889,0.685,0.663,0.974,0.615,0.725,0.307,0.197,0.708,0.819,0.696,0.669,0.871,0.984,0.904,0.202,0.873,0.562,0.824,0.735
hospitals,2003,0.617,0.465,,0.84,0.815,0.756,0.798,0.765,0.725,0.849,0.793,0.797,0.771,0.87,0.769,0.786,0.743,0.918,0.842,0.811,0.775,0.788,0.725,0.731,0.64,0.583,0.739,0.737,0.788,0.752,0.73,,,,,,,,0.752
hospitals,2006,0.611,0.601,,0.687,0.665,0.672,0.61,0.629,0.716,0.627,0.8,0.526,0.684,0.588,0.816,0.684,0.534,0.688,0.706,0.737,0.671,0.65,0.529,0.626,0.6,0.667,0.88,0.61,0.848,0.641,0.697,,,,,,,,0.651
hospitals,2009,0.77,0.873,,0.426,0.612,0.717,0.282,0.658,0.787,0.971,0.956,0.716,0.732,0.584,0.254,0.333,0.751,0.698,0.672,0.694,0.909,0.653,0.664,0.046,0.65,0.617,0.955,0.705,0.915,0.659,0.42,0.513,1,0.581,,,,,0.652
hospitals,2012,0.449,0.455,,0.407,0.58,0.324,0.456,0.537,0.41,0.299,0.747,0.383,0.39,0.389,0.48,0.389,0.603,0.544,0.618,0.48,0.408,0.398,0.379,0.516,0.417,0.517,0.797,0.436,0.774,0.577,0.626,0.481,0.427,0.436,0.693,0.554,0.5,0.488,0.485
hospitals,2015,0.43,0.386,0.414,0.273,0.362,0.372,0.663,0.486,0.307,0.509,0.532,0.492,0.596,0.363,0.487,0.317,0.552,0.652,0.493,0.644,0.465,0.238,0.394,0.611,0.444,0.171,0.13,0.646,0.587,0.357,0.352,0.336,0.56,0.38,0.249,0.873,0.802,0.765,0.458
local road maintenance,2003,0.24,0.378,,0.544,0.418,0.511,0.44,0.307,0.33,0.358,0.136,0.308,0.316,0.255,0.419,0.424,0.258,0.494,0.552,0.347,0.416,0.477,0.493,0.231,0.238,0.538,0.125,0.628,0.125,0.325,0.055,,,,,,,,0.376
local road maintenance,2006,0.409,0.404,,0.396,0.42,0.598,0.5,0.381,0.368,0.341,0.344,0.371,0.446,0.31,0.426,0.466,0.398,0.194,0.497,0.268,0.42,0.364,0.519,0.407,0.423,0.273,0.269,0.413,0.313,0.329,0.579,,,,,,,,0.417
local road maintenance,2009,0.774,0.58,,0.356,0.404,0.561,0.419,0.626,0.475,0.971,0.8,0.462,0.333,0.45,0.549,0.497,0.593,0.545,0.722,0.786,0.83,0.462,0.481,0.899,0.583,0.577,0.539,0.056,0.074,0.687,0.413,0.64,0.725,0.627,,,,,0.558
local road maintenance,2012,0.454,0.421,,0.655,0.658,0.765,0.649,0.669,0.529,0.712,0.494,0.532,0.53,0.471,0.583,0.672,0.579,0.651,0.727,0.548,0.574,0.681,0.699,0.63,0.531,0.667,0.303,0.515,0.426,0.498,0.629,0.73,0.811,0.694,0.434,0.526,0.422,0.458,0.597
local road maintenance,2015,0.66,0.448,0.364,0.567,0.589,0.702,0.778,0.428,0.698,0.393,0.377,0.657,0.721,0.457,0.51,0.511,0.753,0.727,0.513,0.789,0.632,0.527,0.444,0.469,0.664,0.208,0.164,0.591,0.61,0.408,0.571,0.415,0.869,0.808,0.264,0.793,0.523,0.615,0.563
maintenance of inter-municipal roads and highways,2003,0.474,0.397,,0.612,0.515,0.75,0.742,0.762,0.615,0.577,0.241,0.63,0.559,0.519,0.546,0.791,0.365,0.635,0.506,0.667,0.72,0.739,0.74,0.578,0.507,0.727,0.25,0.634,0.133,0.62,0.228,,,,,,,,0.593
maintenance of inter-municipal roads and highways,2006,0.485,0.429,,0.371,0.415,0.75,0.489,0.5,0.445,0.431,0.333,0.457,0.451,0.362,0.496,0.668,0.427,0.32,0.399,0.402,0.525,0.586,0.606,0.467,0.405,0.333,0.36,0.378,0.281,0.514,0.631,,,,,,,,0.491
maintenance of inter-municipal roads and highways,2009,0.836,0.551,,0.397,0.365,0.609,0.402,0.691,0.537,0.96,0.722,0.42,0.315,0.419,0.443,0.539,0.599,0.528,0.723,0.803,0.773,0.478,0.566,0.981,0.553,0.694,0.427,0.157,0.354,0.759,0.453,0.595,0.341,0.597,,,,,0.568
maintenance of inter-municipal roads and highways,2012,0.561,0.416,,0.693,0.582,0.904,0.712,0.825,0.516,0.681,0.375,0.548,0.5,0.374,0.712,0.913,0.437,0.592,0.697,0.744,0.707,0.82,0.827,0.643,0.49,0.72,0.293,0.648,0.383,0.635,0.664,0.672,0.846,0.821,0.386,0.477,0.31,0.365,0.605
maintenance of inter-municipal roads and highways,2015,0.859,0.47,0.353,0.67,0.715,0.871,0.88,0.58,0.55,0.525,0.395,0.724,0.77,0.545,0.781,0.51,0.829,0.75,0.685,0.794,0.663,0.455,0.322,0.575,0.665,0.302,0.356,0.731,0.202,0.427,0.505,0.75,0.869,0.404,0.335,0.677,0.51,0.535,0.61
management of municipal funds,2009,0.806,0.523,,0.269,0.344,0.446,0.334,0.301,0.559,0.965,0.807,0.533,0.331,0.519,0.221,0.611,0.466,0.069,0.534,0.682,0.761,0.548,0.626,0.561,0.369,0.214,0.593,0.059,0.188,0.669,0.367,0.5,0.901,0.632,,,,,0.503
management of municipal funds,2012,0.246,0.258,,0.257,0.396,0.347,0.487,0.758,0.388,0.608,0.164,0.426,0.434,0.242,0.377,0.546,0.301,0.574,0.549,0.443,0.584,0.628,0.659,0.41,0.408,0.39,0.056,0.494,0.108,0.34,0.364,0.639,0.585,0.817,0.217,0.128,0.22,0.243,0.401
management of municipal funds,2015,0.401,0.186,0.158,0.16,0.36,0.291,0.662,0.235,0.447,0.4,0.202,0.315,0.27,0.261,0.359,0.23,0.285,0.535,0.285,0.58,0.585,0.158,0.206,0.308,0.343,0.188,0.012,0.321,0.172,0.307,0.171,0.02,0.14,0.519,0.201,0.6,0.56,0.53,0.319
municipal administration,2003,0.622,0.749,,0.716,0.684,0.624,0.764,0.76,0.774,0.641,0.431,0.735,0.753,0.833,0.679,0.868,0.6,0.756,0.638,0.423,0.907,0.746,0.696,0.816,0.595,0.545,0.632,0.5,0.357,0.701,0.646,,,,,,,,0.691
municipal administration,2006,0.573,0.707,,0.453,0.559,0.783,0.426,0.64,0.451,0.692,0.491,0.659,0.738,0.752,0.763,0.829,0.414,0.722,0.459,0.484,0.833,0.679,0.624,0.713,0.689,0.455,0.667,0.463,0.6,0.552,0.808,,,,,,,,0.62
municipal administration,2009,0.835,0.55,,0.377,0.608,0.279,0.602,0.611,0.68,0.983,0.865,0.535,0.51,0.607,0.667,0.662,0.184,0.81,0.77,0.807,0.2,0.796,0.743,0.76,0.578,0.614,0.417,0.395,0.545,0.922,0.62,0.75,0.5,0.79,,,,,0.632
municipal administration,2012,0.622,0.549,,0.505,0.778,0.695,0.698,0.77,0.478,0.682,0.507,0.653,0.692,0.64,0.776,0.822,0.696,0.63,0.639,0.807,0.745,0.842,0.92,0.766,0.577,0.7,0.619,0.785,0.581,0.623,0.637,0.948,0.847,0.869,0.627,0.381,0.372,0.279,0.67
municipal administration,2015,0.844,0.49,0.605,0.302,0.709,0.529,0.829,0.363,0.674,0.96,0.545,0.608,0.815,0.38,0.906,0.834,0.789,0.77,0.684,0.869,0.696,0.326,0.582,0.52,0.45,0.333,0.693,0.748,0.219,0.536,0.631,0.889,0.966,0.712,0.015,0.643,0.56,0.623,0.624
municipal assembly,2003,0.658,0.696,,0.786,0.714,0.609,0.731,0.761,0.771,0.652,0.4,0.733,0.699,0.828,0.558,0.877,0.669,0.788,0.594,0.415,0.933,0.835,0.674,0.792,0.539,0.5,0.636,0.455,0.31,0.75,0.651,,,,,,,,0.698
municipal assembly,2006,0.551,0.726,,0.442,0.626,0.877,0.451,0.667,0.551,0.667,0.466,0.701,0.693,0.738,0.694,0.82,0.417,0.653,0.435,0.467,0.815,0.597,0.588,0.68,0.649,0.5,0.64,0.452,0.594,0.514,0.847,,,,,,,,0.623
municipal assembly,2009,0.839,0.604,,0.353,0.627,0.391,0.707,0.661,0.726,0.989,0.831,0.53,0.698,0.717,0.19,0.727,0.148,0.754,0.79,0.806,0.068,0.835,0.754,0.76,0.559,0.627,0.429,0.356,0.679,0.922,0.633,0.875,0.442,0.794,,,,,0.645
municipal assembly,2012,0.575,0.516,,0.498,0.801,0.637,0.724,0.738,0.517,0.706,0.481,0.638,0.74,0.694,0.679,0.776,0.729,0.662,0.579,0.691,0.649,0.872,0.859,0.729,0.425,0.656,0.5,0.71,0.558,0.562,0.636,0.949,0.824,0.891,0.473,0.275,0.357,0.299,0.641
municipal assembly,2015,0.625,0.301,0.388,0.233,0.583,0.41,0.625,0.306,0.683,0.925,0.335,0.479,0.557,0.418,0.476,0.543,0.558,0.769,0.414,0.911,0.644,0.304,0.511,0.422,0.41,0.375,0.671,0.533,0.137,0.309,0.419,0.162,0.921,0.702,0.005,0.688,0.396,0.512,0.492
municipal parks and squares,2012,0.58,0.435,,0.45,0.711,0.769,0.661,0.925,0.661,0.844,0.55,0.589,0.522,0.424,0.219,0.481,0.422,0.637,0.744,0.608,0.531,0.835,0.647,0.354,0.312,0.248,0.037,0.354,0.288,0.834,0.822,0.225,0.911,0.624,0.443,0.057,0.321,0.219,0.578
municipal parks and squares,2015,0.693,0.571,0.605,0.649,0.88,0.607,0.908,0.86,0.783,0.67,0.705,0.759,0.483,0.34,0.39,0.541,0.667,0.844,0.511,0.865,0.749,0.727,0.421,0.389,0.666,0.167,0.27,0.528,0.619,0.495,0.49,0.945,0.899,0.231,0.278,0.855,0.628,0.558,0.619
nature and species conservation,2003,0.402,0.39,,0.587,0.603,0.525,0.718,0.681,0.628,0.591,0.268,0.52,0.527,0.607,0.44,0.669,0.496,0.669,0.611,0.554,0.556,0.377,0.723,0.448,0.286,0.4,0.333,0.429,0.143,0.66,0.218,,,,,,,,0.528
nature and species conservation,2006,0.422,0.457,,0.456,0.495,0.659,0.368,0.48,0.54,0.493,0.474,0.429,0.469,0.535,0.649,0.618,0.401,0.465,0.56,0.46,0.593,0.515,0.565,0.482,0.486,0.5,0.304,0.395,0.469,0.71,0.615,,,,,,,,0.506
nature and species conservation,2009,0.676,0.537,,0.247,0.512,0.388,0.261,0.382,0.498,0.966,0.908,0.601,0.343,0.48,0.836,0.517,0.478,0.48,0.73,0.763,0.83,0.389,0.624,0.713,0.549,0.348,0.378,0.083,0.108,0.527,0.561,0.616,0.857,0.277,,,,,0.517
nature and species conservation,2012,0.332,0.351,,0.629,0.624,0.618,0.546,0.694,0.572,0.727,0.386,0.61,0.521,0.43,0.633,0.763,0.387,0.618,0.697,0.5,0.653,0.784,0.663,0.55,0.368,0.523,0.143,0.318,0.287,0.494,0.457,0.625,0.679,0.685,0.201,0.312,0.48,0.346,0.519
nature and species conservation,2015,0.448,0.555,0.353,0.452,0.52,0.375,0.821,0.291,0.631,0.402,0.398,0.146,0.485,0.311,0.321,0.226,0.672,0.668,0.48,0.685,0.699,0.39,0.314,0.377,0.375,0.198,0.105,0.487,0.436,0.337,0.569,0.765,0.516,0.728,0.255,0.727,0.66,0.8,0.464
phone and postal services,2003,0.633,0.625,,0.625,0.7,0.752,0.671,0.649,0.51,0.527,0.783,0.594,0.638,0.588,0.627,0.726,0.636,0.581,0.497,0.645,0.636,0.669,0.59,0.475,0.431,0.364,0.458,0.643,0.818,0.681,0.588,,,,,,,,0.637
phone and postal services,2006,0.684,0.794,,0.665,0.629,0.747,0.551,0.593,0.604,0.562,0.9,0.516,0.654,0.693,0.707,0.711,0.373,0.816,0.744,0.691,0.707,0.772,0.595,0.704,0.577,0.444,0.889,0.568,0.968,0.646,0.716,,,,,,,,0.673
phone and postal services,2009,0.85,0.637,,0.444,0.607,0.661,0.373,0.52,0.675,0.983,0.901,0.503,0.488,0.817,0.672,0.468,0.497,0.543,0.701,0.775,0.784,0.567,0.559,0.167,0.52,0.451,0.802,0.524,0.889,0.816,0.483,0.875,0.692,0.619,,,,,0.624
phone and postal services,2012,0.771,0.779,,0.801,0.778,0.902,0.813,0.783,0.485,0.626,0.894,0.626,0.582,0.694,0.883,0.891,0.517,0.733,0.862,0.825,0.906,0.903,0.898,0.678,0.768,0.366,0.886,0.822,0.896,0.671,0.738,0.922,0.979,0.958,0.427,0.651,0.591,0.398,0.748
phone and postal services,2015,0.939,0.925,0.351,0.865,0.725,0.859,0.895,0.457,0.675,0.819,0.472,0.92,0.825,0.52,0.852,0.585,0.78,0.91,0.85,0.735,0.775,0.66,0.81,0.92,0.73,0.333,0.432,0.783,0.574,0.59,0.745,0.77,0.88,0.534,0.355,0.91,0.92,0.869,0.736
primary and secondary schools/education,2003,0.684,0.768,,0.7,0.784,0.713,0.769,0.791,0.825,0.747,0.893,0.863,0.783,0.78,0.766,0.874,0.854,0.872,0.799,0.76,0.8,0.735,0.775,0.76,0.68,0.636,0.833,0.605,0.857,0.795,0.856,,,,,,,,0.766
primary and secondary schools/education,2006,0.639,0.735,,0.659,0.669,0.753,0.649,0.69,0.703,0.632,0.877,0.763,0.673,0.647,0.672,0.71,0.652,0.558,0.777,0.77,0.631,0.742,0.803,0.606,0.583,0.692,0.808,0.689,0.897,0.755,0.843,,,,,,,,0.698
primary and secondary schools/education,2009,0.899,0.799,,0.436,0.695,0.733,0.294,0.662,0.76,0.983,0.933,0.515,0.673,0.948,0.238,0.546,0.803,0.672,0.65,0.699,0.716,0.627,0.576,0.953,0.569,0.583,0.862,0.639,0.148,0.806,0.503,0.675,0.912,0.863,,,,,0.681
primary and secondary schools/education,2012,0.807,0.798,,0.906,0.733,0.894,0.693,0.847,0.783,0.874,0.925,0.784,0.656,0.661,0.875,0.951,0.89,0.735,0.898,0.764,0.903,0.92,0.881,0.805,0.773,0.85,0.98,0.853,0.902,0.819,0.773,0.884,0.918,0.93,0.937,0.869,0.664,0.572,0.826
primary and secondary schools/education,2015,0.832,0.882,0.399,0.811,0.846,0.737,0.951,0.395,0.887,0.807,0.474,0.728,0.771,0.592,0.861,0.616,0.902,0.853,0.732,0.791,0.725,0.683,0.828,0.921,0.769,0.398,0.309,0.72,0.64,0.648,0.753,0.835,0.983,0.887,0.34,0.899,0.822,0.912,0.738
procedures for tax payment,2003,0.282,0.355,,0.48,0.594,0.491,0.525,0.542,0.48,0.554,0.27,0.512,0.529,0.597,0.294,0.673,0.427,0.462,0.594,0.462,0.534,0.465,0.439,0.405,0.231,0.333,0.417,0.375,0.222,0.355,0.355,,,,,,,,0.461
procedures for tax payment,2006,0.445,0.565,,0.308,0.519,0.651,0.567,0.437,0.391,0.396,0.632,0.435,0.559,0.515,0.565,0.665,0.466,0.637,0.467,0.388,0.627,0.652,0.538,0.535,0.435,0.7,0.667,0.405,0.615,0.632,0.706,,,,,,,,0.521
procedures for tax payment,2009,0.818,0.592,,0.258,0.529,0.389,0.282,0.484,0.556,0.983,0.765,0.456,0.542,0.474,0.451,0.572,0.255,0.356,0.573,0.688,0.739,0.417,0.58,0.909,0.52,0.431,0.449,0.154,0.692,0.729,0.544,0.509,0.231,0.667,,,,,0.531
procedures for tax payment,2012,0.332,0.33,,0.53,0.435,0.694,0.665,0.735,0.314,0.535,0.525,0.528,0.505,0.285,0.681,0.622,0.312,0.602,0.677,0.508,0.667,0.701,0.833,0.402,0.54,0.267,0.24,0.675,0.421,0.472,0.565,0.655,0.825,0.891,0.301,0.244,0.35,0.314,0.517
procedures for tax payment,2015,0.811,0.595,0.282,0.69,0.58,0.766,0.885,0.563,0.58,0.505,0.332,0.855,0.77,0.465,0.864,0.53,0.815,0.785,0.74,0.78,0.605,0.492,0.59,0.47,0.545,0.415,0.333,0.747,0.394,0.213,0.558,0.7,0.89,0.452,0.322,0.64,0.67,0.61,0.611
protection of cultural heritage,2006,0.467,0.511,,0.513,0.576,0.793,0.613,0.606,0.531,0.507,0.558,0.643,0.5,0.597,0.632,0.776,0.412,0.508,0.492,0.521,0.692,0.799,0.717,0.607,0.554,0.25,0.45,0.425,0.4,0.724,0.773,,,,,,,,0.597
protection of cultural heritage,2009,0.784,0.497,,0.319,0.424,0.457,0.27,0.398,0.589,0.959,0.693,0.485,0.446,0.437,0.32,0.588,0.484,0.304,0.754,0.688,0.784,0.414,0.491,0.935,0.479,0.4,0.486,0.013,0.125,0.728,0.557,0.533,0.462,0.542,,,,,0.517
protection of cultural heritage,2012,0.397,0.357,,0.517,0.541,0.645,0.6,0.584,0.531,0.554,0.395,0.39,0.439,0.398,0.618,0.68,0.367,0.547,0.833,0.407,0.621,0.761,0.781,0.41,0.47,0.484,0.225,0.357,0.304,0.353,0.374,0.722,0.87,0.784,0.2,0.195,0.463,0.375,0.489
protection of cultural heritage,2015,0.525,0.305,0.347,0.442,0.643,0.368,0.555,0.273,0.508,0.317,0.368,0.21,0.385,0.435,0.41,0.268,0.585,0.75,0.452,0.668,0.665,0.352,0.5,0.342,0.457,0.135,0.193,0.444,0.391,0.301,0.312,0.42,0.515,0.683,0.294,0.8,0.71,0.84,0.445
public health,2003,0.675,0.651,,0.821,0.802,0.661,0.812,0.749,0.757,0.832,0.77,0.818,0.716,0.83,0.743,0.791,0.705,0.89,0.818,0.813,0.767,0.756,0.69,0.66,0.649,0.583,0.75,0.644,0.794,0.712,0.736,,,,,,,,0.747
public health,2006,0.627,0.684,,0.583,0.736,0.764,0.586,0.663,0.573,0.596,0.77,0.595,0.673,0.696,0.861,0.752,0.509,0.598,0.723,0.766,0.75,0.69,0.739,0.646,0.618,0.7,0.846,0.721,0.879,0.727,0.77,,,,,,,,0.675
public health,2009,0.846,0.832,,0.381,0.609,0.669,0.239,0.679,0.714,0.96,0.912,0.538,0.696,0.574,0.246,0.471,0.716,0.693,0.672,0.699,0.727,0.627,0.639,0.794,0.602,0.547,0.933,0.67,0.813,0.685,0.447,0.71,0.967,0.629,,,,,0.652
public health,2012,0.532,0.531,,0.498,0.681,0.529,0.533,0.628,0.529,0.44,0.796,0.495,0.477,0.472,0.596,0.586,0.596,0.605,0.658,0.618,0.543,0.585,0.6,0.615,0.522,0.617,0.832,0.533,0.866,0.689,0.631,0.684,0.679,0.653,0.76,0.558,0.569,0.443,0.58
