,Satisfaction with family medical centers,Satisfaction with hospitals,Satisfaction with public health,Satisfaction with primary and secondary schools/education,Satisfaction with waste collection services,Satisfaction with water supply,Satisfaction with sewage and sanitation,Satisfaction with local road maintenance,Satisfaction with maintenance of inter-municipal roads and highways,Satisfaction with traffic and parking control and regulation,Satisfaction with electricity supply,Satisfaction with phone and postal services,Satisfaction with environmental protection,Satisfaction with nature and species conservation,Satisfaction with cultural activities,Satisfaction with sports activities,Satisfaction with emergency services,Satisfaction with urban and rural planning,Satisfaction with social services,Satisfaction with procedures for tax payment,Satisfaction with public transport,Satisfaction with protection of cultural heritage,Satisfaction with public procurement/tenders,Satisfaction with recruitment of local staff,Satisfaction with the Mayor,Satisfaction with Municipal Assembly,Satisfaction with Municipal Administration
Kamenice,76.0,70.6,72.3,77.7,61.5,71.3,64.9,49.7,39.9,48.0,14.0,74.4,49.7,56.0,66.4,68.9,72.5,55.2,39.2,46.7,64.1,49.2,26.8,43.8,50.6,43.5,45.9
Lipjan,76.3,73.7,76.6,77.0,8.0,25.3,12.8,26.8,40.2,31.7,31.8,69.1,38.4,46.0,62.2,66.5,74.4,42.3,31.4,38.8,52.0,52.1,33.0,48.2,50.3,46.7,48.4
Shtime,73.3,67.1,75.0,63.1,47.8,56.3,41.4,42.0,52.5,55.0,58.9,70.7,59.6,59.3,66.1,71.9,72.0,63.3,54.2,62.7,78.7,69.2,49.0,71.9,79.7,81.5,83.3
Ferizaj,67.3,65.0,69.0,74.2,55.9,46.0,44.8,36.4,58.6,69.7,71.1,77.2,48.4,51.5,74.8,77.2,87.9,52.6,41.4,65.2,78.1,79.9,43.4,65.4,62.6,59.7,67.9
Kacanik,60.9,52.9,73.9,80.3,44.4,79.1,57.1,51.9,60.6,54.8,29.6,59.5,52.0,56.5,57.9,65.2,86.8,55.6,48.8,53.8,75.6,71.7,55.2,64.0,58.5,58.8,62.4
Fushe Kosove,73.3,62.6,64.6,60.6,40.7,40.2,63.0,40.7,46.7,48.5,68.9,70.4,43.9,48.2,54.3,57.8,73.8,55.6,42.9,53.5,75.8,60.7,47.4,65.9,73.1,68.0,71.3
Obiliq,77.5,60.0,61.8,58.3,48.7,66.7,48.7,42.3,40.5,41.7,55.1,57.7,36.4,48.6,48.6,52.2,61.9,51.5,40.0,43.5,58.9,55.4,37.5,56.1,68.4,64.9,68.9
Novoberda,83.3,66.7,70.0,69.2,18.2,38.5,33.3,27.3,33.3,50.0,66.7,44.4,44.4,50.0,54.5,63.6,60.0,33.3,45.5,70.0,20.0,25.0,25.0,36.4,46.2,50.0,45.5
Zubin Potok,84.6,88.0,84.6,80.8,52.0,69.2,50.0,26.9,36.0,52.0,85.2,88.9,37.5,30.4,44.0,45.8,82.6,35.0,69.6,66.7,45.8,45.0,33.3,12.5,61.5,64.0,66.7
Shterpce,62.2,61.0,72.1,68.9,35.6,57.4,45.7,41.3,37.8,33.3,28.3,56.8,34.1,39.5,30.2,26.2,50.0,38.5,44.4,40.5,46.5,42.5,32.4,32.6,47.7,45.2,46.3
Zvecan,84.8,84.8,87.9,89.7,59.4,44.1,69.7,31.3,28.1,28.1,68.8,96.8,50.0,46.9,56.7,55.2,82.1,39.3,50.0,61.5,72.4,40.0,47.8,20.7,62.5,59.4,60.0
Gliogovc,73.2,64.1,72.7,75.5,44.1,52.3,39.3,32.9,51.4,54.5,54.8,64.6,65.2,71.0,72.7,79.0,92.1,67.5,52.9,63.2,72.6,72.4,50.5,50.8,46.6,51.4,55.2
Malisheve,70.7,69.7,77.0,84.3,48.1,47.7,42.6,57.9,63.1,61.5,63.4,71.6,58.7,61.5,67.3,77.9,89.7,65.1,65.2,70.6,79.3,77.3,66.7,74.2,83.8,84.7,80.8
Junik,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamushe,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hani I Elezit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gracanica,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranillug,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partesh,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kllokot,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,72.6,65.1,67.5,69.8,51.0,60.8,52.4,41.7,49.1,46.8,52.3,67.3,50.7,50.6,59.8,63.0,77.1,51.9,39.8,52.1,66.0,59.7,41.1,53.1,63.9,62.3,62.0
