indicators,year,Pristina,Mitrovica,Mitrovica North,Gjilan,Peje,Prizren,Gjakove,Podujeve,Vushtrri,Skenderaj,Leposaviq,Kline,Istog,Decan,Dragash,Suhareke,Rahovec,Viti,Kamenice,Lipjan,Shtime,Ferizaj,Kacanik,Fushe Kosove,Obiliq,Novoberda,Zubin Potok,Shterpce,Zvecan,Gllogoc,Malisheve,Junik,Mamushe,Hani I Elezit,Gracanica,Ranillug,Partesh,Kllokot,Kosovo
public health,2003,0.675,0.651,,0.821,0.802,0.661,0.812,0.749,0.757,0.832,0.770,0.818,0.716,0.830,0.743,0.791,0.705,0.890,0.818,0.813,0.767,0.756,0.690,0.660,0.649,0.583,0.750,0.644,0.794,0.712,0.736,,,,,,,,0.747
public health,2006,0.627,0.684,,0.583,0.736,0.764,0.586,0.663,0.573,0.596,0.770,0.595,0.673,0.696,0.861,0.752,0.509,0.598,0.723,0.766,0.750,0.690,0.739,0.646,0.618,0.700,0.846,0.721,0.879,0.727,0.770,,,,,,,,0.675
public health,2009,0.846,0.832,,0.381,0.609,0.669,0.239,0.679,0.714,0.960,0.912,0.538,0.696,0.574,0.246,0.471,0.716,0.693,0.672,0.699,0.727,0.627,0.639,0.794,0.602,0.547,0.933,0.670,0.813,0.685,0.447,0.710,0.967,0.629,,,,,0.652
public health,2012,0.532,0.531,,0.498,0.681,0.529,0.533,0.628,0.529,0.440,0.796,0.495,0.477,0.472,0.596,0.586,0.596,0.605,0.658,0.618,0.543,0.585,0.600,0.615,0.522,0.617,0.832,0.533,0.866,0.689,0.631,0.684,0.679,0.653,0.760,0.558,0.569,0.443,0.580
public health,2015,0.586,0.552,0.489,0.415,0.447,0.502,0.766,0.592,0.454,0.627,0.578,0.528,0.677,0.414,0.712,0.436,0.674,0.757,0.577,0.705,0.537,0.378,0.570,0.626,0.545,0.293,0.197,0.608,0.663,0.493,0.473,0.471,0.762,0.646,0.240,0.876,0.715,0.828,0.560
access to and quality of preschool education,2012,0.854,0.815,,0.927,0.762,0.883,0.690,0.875,0.803,0.856,0.948,0.755,0.689,0.674,0.805,0.902,0.853,0.756,0.895,0.845,0.905,0.961,0.902,0.866,0.846,0.887,1.000,0.866,0.985,0.903,0.836,0.943,0.950,0.902,0.924,0.839,0.659,0.549,0.843
access to and quality of preschool education,2015,0.886,0.870,0.393,0.813,0.885,0.752,0.958,0.455,0.870,0.850,0.515,0.779,0.945,0.595,0.935,0.653,0.923,0.942,0.840,0.793,0.767,0.688,0.866,0.930,0.814,0.448,0.311,0.797,0.739,0.682,0.621,0.770,0.990,0.923,0.358,0.910,0.850,0.895,0.768
primary and secondary schools/education,2003,0.684,0.768,,0.700,0.784,0.713,0.769,0.791,0.825,0.747,0.893,0.863,0.783,0.780,0.766,0.874,0.854,0.872,0.799,0.760,0.800,0.735,0.775,0.760,0.680,0.636,0.833,0.605,0.857,0.795,0.856,,,,,,,,0.766
primary and secondary schools/education,2006,0.639,0.735,,0.659,0.669,0.753,0.649,0.690,0.703,0.632,0.877,0.763,0.673,0.647,0.672,0.710,0.652,0.558,0.777,0.770,0.631,0.742,0.803,0.606,0.583,0.692,0.808,0.689,0.897,0.755,0.843,,,,,,,,0.698
primary and secondary schools/education,2009,0.899,0.799,,0.436,0.695,0.733,0.294,0.662,0.760,0.983,0.933,0.515,0.673,0.948,0.238,0.546,0.803,0.672,0.650,0.699,0.716,0.627,0.576,0.953,0.569,0.583,0.862,0.639,0.148,0.806,0.503,0.675,0.912,0.863,,,,,0.681
primary and secondary schools/education,2012,0.807,0.798,,0.906,0.733,0.894,0.693,0.847,0.783,0.874,0.925,0.784,0.656,0.661,0.875,0.951,0.890,0.735,0.898,0.764,0.903,0.920,0.881,0.805,0.773,0.850,0.980,0.853,0.902,0.819,0.773,0.884,0.918,0.930,0.937,0.869,0.664,0.572,0.826
primary and secondary schools/education,2015,0.832,0.882,0.399,0.811,0.846,0.737,0.951,0.395,0.887,0.807,0.474,0.728,0.771,0.592,0.861,0.616,0.902,0.853,0.732,0.791,0.725,0.683,0.828,0.921,0.769,0.398,0.309,0.720,0.640,0.648,0.753,0.835,0.983,0.887,0.340,0.899,0.822,0.912,0.738
waste collection services,2003,0.521,0.612,,0.709,0.329,0.526,0.573,0.441,0.450,0.378,0.379,0.329,0.493,0.468,0.371,0.574,0.580,0.484,0.571,0.582,0.608,0.407,0.582,0.349,0.244,0.300,0.269,0.733,0.226,0.481,0.149,,,,,,,,0.491
waste collection services,2006,0.506,0.551,,0.704,0.571,0.648,0.511,0.362,0.410,0.337,0.542,0.343,0.531,0.420,0.687,0.591,0.542,0.541,0.615,0.080,0.478,0.559,0.444,0.407,0.487,0.182,0.520,0.356,0.594,0.441,0.481,,,,,,,,0.510
waste collection services,2009,0.661,0.586,,0.470,0.551,0.611,0.476,0.453,0.381,0.977,0.703,0.438,0.506,0.697,0.434,0.477,0.423,0.603,0.445,0.728,0.761,0.654,0.576,0.670,0.583,0.451,0.614,0.157,0.232,0.614,0.347,0.651,0.824,0.547,,,,,0.560
waste collection services,2012,0.513,0.458,,0.459,0.503,0.641,0.403,0.561,0.536,0.358,0.599,0.247,0.265,0.350,0.662,0.796,0.631,0.605,0.571,0.471,0.475,0.617,0.522,0.693,0.376,0.688,0.356,0.547,0.793,0.324,0.426,0.267,0.585,0.432,0.499,0.752,0.501,0.528,0.509
waste collection services,2015,0.543,0.569,0.299,0.712,0.607,0.741,0.825,0.562,0.689,0.213,0.368,0.503,0.523,0.432,0.486,0.540,0.624,0.667,0.556,0.847,0.494,0.761,0.650,0.493,0.590,0.178,0.135,0.618,0.568,0.442,0.700,0.590,0.631,0.569,0.288,0.787,0.480,0.635,0.559
water supply,2003,0.632,0.432,,0.673,0.646,0.790,0.619,0.766,0.292,0.370,0.339,0.479,0.606,0.601,0.767,0.512,0.475,0.500,0.552,0.585,0.507,0.422,0.765,0.620,0.513,0.667,0.400,0.711,0.182,0.494,0.142,,,,,,,,0.573
water supply,2006,0.700,0.546,,0.644,0.734,0.812,0.756,0.577,0.197,0.488,0.721,0.359,0.770,0.692,0.811,0.545,0.643,0.409,0.713,0.253,0.563,0.460,0.791,0.402,0.667,0.385,0.692,0.574,0.441,0.523,0.477,,,,,,,,0.608
water supply,2009,0.830,0.708,,0.431,0.630,0.401,0.505,0.705,0.364,0.971,0.556,0.450,0.577,0.831,0.426,0.523,0.339,0.534,0.697,0.769,0.716,0.597,0.659,0.138,0.660,0.556,0.742,0.102,0.561,0.630,0.306,0.919,0.791,0.640,,,,,0.594
water supply,2012,0.654,0.660,,0.627,0.889,0.480,0.799,0.764,0.341,0.485,0.442,0.189,0.759,0.806,0.528,0.521,0.619,0.544,0.644,0.465,0.589,0.797,0.477,0.441,0.577,0.203,0.581,0.670,0.265,0.625,0.517,0.973,0.093,0.593,0.730,0.800,0.535,0.604,0.589
water supply,2015,0.757,0.790,0.303,0.714,0.730,0.695,0.885,0.695,0.565,0.295,0.400,0.410,0.550,0.550,0.783,0.525,0.570,0.785,0.510,0.810,0.660,0.814,0.720,0.225,0.890,0.396,0.144,0.638,0.628,0.535,0.515,0.740,0.240,0.569,0.227,0.890,0.540,0.800,0.602
sewage and sanitation,2003,0.397,0.463,,0.640,0.384,0.694,0.476,0.557,0.310,0.247,0.500,0.387,0.405,0.155,0.667,0.525,0.376,0.397,0.555,0.447,0.329,0.480,0.566,0.404,0.215,0.300,0.292,0.605,0.344,0.320,0.041,,,,,,,,0.451
sewage and sanitation,2006,0.620,0.610,,0.599,0.513,0.737,0.557,0.474,0.381,0.333,0.700,0.336,0.441,0.250,0.656,0.680,0.473,0.341,0.649,0.128,0.414,0.448,0.571,0.630,0.487,0.333,0.500,0.457,0.697,0.393,0.426,,,,,,,,0.524
sewage and sanitation,2009,0.812,0.598,,0.402,0.449,0.530,0.516,0.586,0.429,0.966,0.822,0.467,0.387,0.292,0.549,0.517,0.516,0.547,0.487,0.769,0.807,0.463,0.515,0.550,0.573,0.452,0.438,0.045,0.122,0.642,0.487,0.447,0.747,0.753,,,,,0.551
sewage and sanitation,2012,0.548,0.658,,0.705,0.556,0.864,0.716,0.662,0.576,0.403,0.647,0.343,0.435,0.234,0.824,0.855,0.592,0.656,0.680,0.556,0.484,0.839,0.648,0.673,0.544,0.243,0.432,0.526,0.694,0.472,0.476,0.723,0.899,0.726,0.551,0.705,0.571,0.574,0.608
sewage and sanitation,2015,0.639,0.580,0.296,0.603,0.470,0.832,0.865,0.490,0.555,0.275,0.404,0.520,0.630,0.231,0.707,0.625,0.600,0.670,0.570,0.785,0.620,0.750,0.355,0.320,0.700,0.188,0.067,0.538,0.617,0.445,0.445,0.520,0.510,0.644,0.177,0.848,0.525,0.730,0.544
local road maintenance,2003,0.240,0.378,,0.544,0.418,0.511,0.440,0.307,0.330,0.358,0.136,0.308,0.316,0.255,0.419,0.424,0.258,0.494,0.552,0.347,0.416,0.477,0.493,0.231,0.238,0.538,0.125,0.628,0.125,0.325,0.055,,,,,,,,0.376
local road maintenance,2006,0.409,0.404,,0.396,0.420,0.598,0.500,0.381,0.368,0.341,0.344,0.371,0.446,0.310,0.426,0.466,0.398,0.194,0.497,0.268,0.420,0.364,0.519,0.407,0.423,0.273,0.269,0.413,0.313,0.329,0.579,,,,,,,,0.417
local road maintenance,2009,0.774,0.580,,0.356,0.404,0.561,0.419,0.626,0.475,0.971,0.800,0.462,0.333,0.450,0.549,0.497,0.593,0.545,0.722,0.786,0.830,0.462,0.481,0.899,0.583,0.577,0.539,0.056,0.074,0.687,0.413,0.640,0.725,0.627,,,,,0.558
local road maintenance,2012,0.454,0.421,,0.655,0.658,0.765,0.649,0.669,0.529,0.712,0.494,0.532,0.530,0.471,0.583,0.672,0.579,0.651,0.727,0.548,0.574,0.681,0.699,0.630,0.531,0.667,0.303,0.515,0.426,0.498,0.629,0.730,0.811,0.694,0.434,0.526,0.422,0.458,0.597
local road maintenance,2015,0.660,0.448,0.364,0.567,0.589,0.702,0.778,0.428,0.698,0.393,0.377,0.657,0.721,0.457,0.510,0.511,0.753,0.727,0.513,0.789,0.632,0.527,0.444,0.469,0.664,0.208,0.164,0.591,0.610,0.408,0.571,0.415,0.869,0.808,0.264,0.793,0.523,0.615,0.563
maintenance of inter-municipal roads and highways,2003,0.474,0.397,,0.612,0.515,0.750,0.742,0.762,0.615,0.577,0.241,0.630,0.559,0.519,0.546,0.791,0.365,0.635,0.506,0.667,0.720,0.739,0.740,0.578,0.507,0.727,0.250,0.634,0.133,0.620,0.228,,,,,,,,0.593
maintenance of inter-municipal roads and highways,2006,0.485,0.429,,0.371,0.415,0.750,0.489,0.500,0.445,0.431,0.333,0.457,0.451,0.362,0.496,0.668,0.427,0.320,0.399,0.402,0.525,0.586,0.606,0.467,0.405,0.333,0.360,0.378,0.281,0.514,0.631,,,,,,,,0.491
maintenance of inter-municipal roads and highways,2009,0.836,0.551,,0.397,0.365,0.609,0.402,0.691,0.537,0.960,0.722,0.420,0.315,0.419,0.443,0.539,0.599,0.528,0.723,0.803,0.773,0.478,0.566,0.981,0.553,0.694,0.427,0.157,0.354,0.759,0.453,0.595,0.341,0.597,,,,,0.568
maintenance of inter-municipal roads and highways,2012,0.561,0.416,,0.693,0.582,0.904,0.712,0.825,0.516,0.681,0.375,0.548,0.500,0.374,0.712,0.913,0.437,0.592,0.697,0.744,0.707,0.820,0.827,0.643,0.490,0.720,0.293,0.648,0.383,0.635,0.664,0.672,0.846,0.821,0.386,0.477,0.310,0.365,0.605
maintenance of inter-municipal roads and highways,2015,0.859,0.470,0.353,0.670,0.715,0.871,0.880,0.580,0.550,0.525,0.395,0.724,0.770,0.545,0.781,0.510,0.829,0.750,0.685,0.794,0.663,0.455,0.322,0.575,0.665,0.302,0.356,0.731,0.202,0.427,0.505,0.750,0.869,0.404,0.335,0.677,0.510,0.535,0.610
traffic and parking control and regulation,2003,0.284,0.371,,0.622,0.468,0.499,0.597,0.454,0.546,0.455,0.127,0.453,0.558,0.352,0.573,0.714,0.367,0.507,0.512,0.569,0.554,0.444,0.659,0.412,0.323,0.500,0.278,0.405,0.063,0.442,0.180,,,,,,,,0.463
traffic and parking control and regulation,2006,0.416,0.460,,0.411,0.424,0.585,0.385,0.384,0.431,0.428,0.367,0.371,0.450,0.445,0.518,0.662,0.288,0.484,0.480,0.317,0.550,0.697,0.548,0.485,0.417,0.500,0.520,0.333,0.281,0.545,0.615,,,,,,,,0.468
traffic and parking control and regulation,2009,0.754,0.594,,0.275,0.397,0.293,0.331,0.513,0.482,0.971,0.844,0.444,0.310,0.427,0.311,0.533,0.384,0.471,0.661,0.775,0.670,0.503,0.555,0.941,0.490,0.486,0.568,0.209,0.841,0.648,0.432,0.459,0.495,0.493,,,,,0.517
traffic and parking control and regulation,2012,0.193,0.283,,0.289,0.575,0.338,0.413,0.491,0.453,0.331,0.412,0.256,0.409,0.299,0.160,0.235,0.311,0.575,0.636,0.395,0.481,0.483,0.447,0.401,0.355,0.438,0.222,0.601,0.116,0.482,0.448,0.173,0.168,0.391,0.262,0.176,0.378,0.371,0.378
traffic and parking control and regulation,2015,0.364,0.325,0.193,0.384,0.507,0.377,0.891,0.373,0.620,0.104,0.421,0.070,0.542,0.308,0.264,0.357,0.619,0.693,0.343,0.784,0.433,0.411,0.388,0.317,0.487,0.156,0.114,0.506,0.372,0.368,0.362,0.180,0.465,0.353,0.199,0.758,0.578,0.532,0.412
electricity supply,2003,0.113,0.153,,0.321,0.186,0.187,0.160,0.067,0.190,0.227,0.131,0.141,0.208,0.190,0.185,0.156,0.246,0.152,0.276,0.281,0.130,0.081,0.170,0.198,0.089,0.083,0.320,0.114,0.219,0.150,0.069,,,,,,,,0.171
electricity supply,2006,0.668,0.525,,0.545,0.588,0.603,0.453,0.595,0.290,0.315,0.557,0.371,0.617,0.608,0.508,0.442,0.309,0.430,0.140,0.318,0.589,0.711,0.296,0.689,0.551,0.667,0.852,0.283,0.688,0.548,0.634,,,,,,,,0.523
electricity supply,2009,0.735,0.417,,0.311,0.343,0.265,0.242,0.542,0.387,0.954,0.571,0.491,0.216,0.323,0.361,0.434,0.278,0.322,0.422,0.792,0.670,0.586,0.667,0.193,0.476,0.521,0.709,0.036,0.976,0.651,0.329,0.138,0.264,0.842,,,,,0.466
electricity supply,2012,0.688,0.341,,0.750,0.530,0.542,0.568,0.382,0.170,0.456,0.188,0.390,0.431,0.164,0.707,0.616,0.282,0.665,0.858,0.671,0.700,0.484,0.468,0.427,0.474,0.680,0.068,0.863,0.041,0.228,0.479,0.763,0.527,0.920,0.506,0.884,0.884,0.462,0.504
electricity supply,2015,0.886,0.950,0.395,0.885,0.685,0.863,0.925,0.645,0.705,0.865,0.450,0.805,0.875,0.437,0.868,0.610,0.585,0.875,0.815,0.530,0.655,0.764,0.834,0.930,0.834,0.469,0.444,0.700,0.553,0.250,0.640,0.720,0.310,0.913,0.325,0.970,0.980,0.970,0.715
phone and postal services,2003,0.633,0.625,,0.625,0.700,0.752,0.671,0.649,0.510,0.527,0.783,0.594,0.638,0.588,0.627,0.726,0.636,0.581,0.497,0.645,0.636,0.669,0.590,0.475,0.431,0.364,0.458,0.643,0.818,0.681,0.588,,,,,,,,0.637
phone and postal services,2006,0.684,0.794,,0.665,0.629,0.747,0.551,0.593,0.604,0.562,0.900,0.516,0.654,0.693,0.707,0.711,0.373,0.816,0.744,0.691,0.707,0.772,0.595,0.704,0.577,0.444,0.889,0.568,0.968,0.646,0.716,,,,,,,,0.673
phone and postal services,2009,0.850,0.637,,0.444,0.607,0.661,0.373,0.520,0.675,0.983,0.901,0.503,0.488,0.817,0.672,0.468,0.497,0.543,0.701,0.775,0.784,0.567,0.559,0.167,0.520,0.451,0.802,0.524,0.889,0.816,0.483,0.875,0.692,0.619,,,,,0.624
phone and postal services,2012,0.771,0.779,,0.801,0.778,0.902,0.813,0.783,0.485,0.626,0.894,0.626,0.582,0.694,0.883,0.891,0.517,0.733,0.862,0.825,0.906,0.903,0.898,0.678,0.768,0.366,0.886,0.822,0.896,0.671,0.738,0.922,0.979,0.958,0.427,0.651,0.591,0.398,0.748
phone and postal services,2015,0.939,0.925,0.351,0.865,0.725,0.859,0.895,0.457,0.675,0.819,0.472,0.920,0.825,0.520,0.852,0.585,0.780,0.910,0.850,0.735,0.775,0.660,0.810,0.920,0.730,0.333,0.432,0.783,0.574,0.590,0.745,0.770,0.880,0.534,0.355,0.910,0.920,0.869,0.736
environmental protection,2003,0.385,0.390,,0.598,0.533,0.573,0.660,0.649,0.490,0.375,0.246,0.489,0.487,0.583,0.449,0.627,0.479,0.547,0.621,0.599,0.528,0.370,0.623,0.306,0.133,0.455,0.333,0.465,0.200,0.560,0.206,,,,,,,,0.496
environmental protection,2006,0.491,0.456,,0.428,0.547,0.688,0.342,0.479,0.548,0.458,0.508,0.430,0.567,0.537,0.717,0.672,0.398,0.392,0.497,0.384,0.596,0.484,0.520,0.439,0.364,0.444,0.375,0.341,0.500,0.652,0.587,,,,,,,,0.507
environmental protection,2009,0.635,0.572,,0.282,0.468,0.333,0.418,0.387,0.493,0.971,0.900,0.581,0.305,0.652,0.934,0.460,0.561,0.489,0.765,0.757,0.761,0.403,0.608,0.101,0.535,0.357,0.476,0.118,0.153,0.539,0.534,0.588,0.813,0.354,,,,,0.517
environmental protection,2012,0.310,0.285,,0.470,0.606,0.682,0.565,0.653,0.475,0.660,0.494,0.444,0.455,0.413,0.519,0.707,0.427,0.497,0.605,0.500,0.598,0.702,0.679,0.409,0.115,0.629,0.093,0.394,0.313,0.488,0.474,0.679,0.755,0.595,0.282,0.186,0.419,0.245,0.502
environmental protection,2015,0.485,0.348,0.257,0.500,0.645,0.512,0.595,0.615,0.745,0.390,0.295,0.330,0.437,0.231,0.255,0.345,0.705,0.730,0.450,0.789,0.655,0.575,0.325,0.310,0.340,0.125,0.079,0.381,0.376,0.430,0.365,0.770,0.626,0.327,0.250,0.880,0.600,0.606,0.466
nature and species conservation,2003,0.402,0.390,,0.587,0.603,0.525,0.718,0.681,0.628,0.591,0.268,0.520,0.527,0.607,0.440,0.669,0.496,0.669,0.611,0.554,0.556,0.377,0.723,0.448,0.286,0.400,0.333,0.429,0.143,0.660,0.218,,,,,,,,0.528
nature and species conservation,2006,0.422,0.457,,0.456,0.495,0.659,0.368,0.480,0.540,0.493,0.474,0.429,0.469,0.535,0.649,0.618,0.401,0.465,0.560,0.460,0.593,0.515,0.565,0.482,0.486,0.500,0.304,0.395,0.469,0.710,0.615,,,,,,,,0.506
nature and species conservation,2009,0.676,0.537,,0.247,0.512,0.388,0.261,0.382,0.498,0.966,0.908,0.601,0.343,0.480,0.836,0.517,0.478,0.480,0.730,0.763,0.830,0.389,0.624,0.713,0.549,0.348,0.378,0.083,0.108,0.527,0.561,0.616,0.857,0.277,,,,,0.517
nature and species conservation,2012,0.332,0.351,,0.629,0.624,0.618,0.546,0.694,0.572,0.727,0.386,0.610,0.521,0.430,0.633,0.763,0.387,0.618,0.697,0.500,0.653,0.784,0.663,0.550,0.368,0.523,0.143,0.318,0.287,0.494,0.457,0.625,0.679,0.685,0.201,0.312,0.480,0.346,0.519
nature and species conservation,2015,0.448,0.555,0.353,0.452,0.520,0.375,0.821,0.291,0.631,0.402,0.398,0.146,0.485,0.311,0.321,0.226,0.672,0.668,0.480,0.685,0.699,0.390,0.314,0.377,0.375,0.198,0.105,0.487,0.436,0.337,0.569,0.765,0.516,0.728,0.255,0.727,0.660,0.800,0.464
cultural activities,2003,0.616,0.425,,0.816,0.709,0.723,0.749,0.693,0.714,0.662,0.439,0.586,0.612,0.686,0.506,0.837,0.584,0.646,0.606,0.701,0.686,0.805,0.792,0.558,0.537,0.200,0.364,0.300,0.103,0.576,0.254,,,,,,,,0.652
cultural activities,2006,0.517,0.608,,0.551,0.533,0.775,0.520,0.453,0.590,0.588,0.724,0.522,0.622,0.597,0.635,0.784,0.295,0.635,0.664,0.622,0.661,0.748,0.579,0.543,0.486,0.545,0.440,0.302,0.567,0.727,0.673,,,,,,,,0.598
cultural activities,2009,0.793,0.659,,0.359,0.707,0.681,0.194,0.450,0.842,0.977,0.920,0.568,0.383,0.552,0.950,0.678,0.723,0.426,0.941,0.798,0.932,0.547,0.574,0.971,0.485,0.403,0.410,0.071,0.372,0.688,0.642,0.412,0.835,0.614,,,,,0.622
cultural activities,2012,0.424,0.455,,0.397,0.438,0.560,0.426,0.470,0.325,0.464,0.474,0.395,0.432,0.227,0.152,0.549,0.633,0.617,0.602,0.386,0.356,0.645,0.332,0.420,0.372,0.344,0.293,0.045,0.200,0.522,0.441,0.306,0.471,0.406,0.102,0.091,0.341,0.208,0.419
cultural activities,2015,0.673,0.400,0.211,0.429,0.879,0.361,0.540,0.206,0.615,0.405,0.080,0.477,0.635,0.276,0.242,0.470,0.430,0.900,0.409,0.739,0.575,0.497,0.759,0.439,0.657,0.135,0.126,0.438,0.436,0.266,0.357,0.380,0.687,0.721,0.263,0.800,0.590,0.515,0.477
sports activities,2003,0.618,0.467,,0.855,0.762,0.761,0.799,0.780,0.649,0.694,0.404,0.611,0.595,0.686,0.556,0.851,0.622,0.664,0.663,0.665,0.757,0.838,0.782,0.578,0.561,0.200,0.333,0.385,0.167,0.564,0.282,,,,,,,,0.675
sports activities,2006,0.588,0.598,,0.552,0.595,0.791,0.532,0.511,0.659,0.586,0.707,0.480,0.645,0.637,0.577,0.787,0.358,0.643,0.689,0.665,0.719,0.772,0.652,0.578,0.522,0.636,0.458,0.262,0.552,0.790,0.779,,,,,,,,0.630
sports activities,2009,0.800,0.668,,0.399,0.694,0.663,0.178,0.432,0.811,0.983,0.978,0.704,0.407,0.539,0.975,0.711,0.735,0.479,0.913,0.728,0.875,0.514,0.521,0.962,0.485,0.405,0.655,0.176,0.222,0.756,0.635,0.524,0.846,0.566,,,,,0.630
sports activities,2012,0.459,0.524,,0.410,0.533,0.552,0.431,0.470,0.313,0.526,0.575,0.407,0.414,0.242,0.192,0.715,0.589,0.631,0.578,0.424,0.393,0.697,0.314,0.457,0.411,0.500,0.538,0.045,0.378,0.465,0.426,0.255,0.305,0.446,0.115,0.163,0.341,0.204,0.443
sports activities,2015,0.713,0.427,0.204,0.574,0.870,0.476,0.555,0.150,0.610,0.535,0.132,0.540,0.828,0.369,0.315,0.400,0.610,0.915,0.475,0.760,0.655,0.545,0.819,0.576,0.697,0.260,0.310,0.459,0.426,0.420,0.355,0.550,0.310,0.404,0.275,0.850,0.590,0.420,0.522
youth activities,2012,0.425,0.439,,0.467,0.452,0.558,0.422,0.433,0.302,0.462,0.519,0.370,0.416,0.253,0.193,0.614,0.619,0.635,0.658,0.363,0.349,0.649,0.280,0.401,0.361,0.356,0.333,0.033,0.267,0.431,0.439,0.254,0.338,0.388,0.114,0.091,0.439,0.226,0.417
youth activities,2015,0.637,0.402,0.237,0.436,0.864,0.366,0.525,0.180,0.595,0.490,0.075,0.417,0.596,0.338,0.217,0.375,0.425,0.870,0.330,0.739,0.598,0.500,0.828,0.418,0.707,0.177,0.080,0.462,0.426,0.327,0.345,0.370,0.162,0.692,0.245,0.830,0.640,0.495,0.466
emergency services,2003,0.803,0.675,,0.847,0.830,0.871,0.927,0.873,0.771,0.579,0.538,0.803,0.745,0.688,0.371,0.900,0.769,0.847,0.660,0.700,0.681,0.886,0.912,0.770,0.717,0.222,0.500,0.632,0.545,0.658,0.899,,,,,,,,0.791
emergency services,2006,0.674,0.777,,0.703,0.806,0.909,0.815,0.711,0.723,0.588,0.840,0.678,0.798,0.686,0.761,0.887,0.479,0.927,0.725,0.744,0.720,0.879,0.868,0.738,0.619,0.600,0.826,0.500,0.821,0.921,0.897,,,,,,,,0.771
emergency services,2009,0.847,0.628,,0.379,0.652,0.631,0.226,0.540,0.650,0.977,0.967,0.444,0.605,0.458,0.950,0.649,0.691,0.537,0.828,0.757,0.682,0.556,0.508,0.991,0.570,0.519,0.639,0.325,0.795,0.834,0.646,0.680,0.747,0.685,,,,,0.637
emergency services,2012,0.668,0.732,,0.698,0.870,0.793,0.732,0.803,0.776,0.698,0.923,0.708,0.704,0.640,0.733,0.879,0.576,0.739,0.687,0.833,0.758,0.811,0.884,0.709,0.673,0.697,0.951,0.753,1.000,0.883,0.781,0.927,0.899,0.865,0.920,0.627,0.640,0.415,0.760
